IdentifiantImmeuble;CodeVoieRivoliImmeuble;CodeInseeImmeuble;CodePostalImmeuble;CommuneImmeuble;CodeAdresseImmeuble;TypeVoieImmeuble;NomVoieImmeuble;NumeroVoieImmeuble;ComplementNumeroVoieImmeuble;BatimentImmeuble;NombreLogementsAdresseIPE;EtatImmeuble;DateSignatureConvention;GestionnaireImmeuble;CodePostalGestionnaire;CommuneGestionnaire;TypeVoieGestionnaire;NomVoieGestionnaire;NumeroVoieGestionnaire;ComplementNumeroVoieGestionnaire;CodeAdresseGestionnaire;SiretGestionnaire;DateCablageAdresse;DateDerniereModification;ReferencePM;TypeIngenierie;FibreDedieeLibre;TypeImmeuble;TypeProjectionGeographique;CoordonneeImmeubleX;CoordonneeImmeubleY;AccordGestionnaireImmeubleNecessaire;TypeZone;DateMiseEnServiceCommercialeImmeuble;ImmeubleNeuf;DatePrevLivraisonImmeubleNeuf;CodeHexacleVoie;DateDebutAcceptationCmdAcces;DateDebutFournitureCRCmdAcces;ReferencePBO;DateMADPBO;NombrelogementsPBO;TypePBO;TypeRaccoPBPTO;ConditionsSyndic
IMB/01004/X/00Y3;0550;01004;01500;Ambérieu-en-Bugey;01004224C2;Rue;de la République;91;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882270.73;6542883.00;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Y4;0550;01004;01500;Ambérieu-en-Bugey;010042292P;Rue;de la République;92;;;2;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882157.94;6543129.76;N;3;;;;010042224L;;;;;;;aérosouterrain;
IMB/01004/X/00Y5;0550;01004;01500;Ambérieu-en-Bugey;01004224C3;Rue;de la République;93;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882267.80;6542891.02;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Y6;0550;01004;01500;Ambérieu-en-Bugey;010042292R;Rue;de la République;96;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882150.11;6543148.81;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Y7;0550;01004;01500;Ambérieu-en-Bugey;01004224C4;Rue;de la République;98;;;2;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882156.19;6543158.75;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Y8;0550;01004;01500;Ambérieu-en-Bugey;01004224C6;Rue;de la République;99;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882259.97;6542910.07;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00Y9;0550;01004;01500;Ambérieu-en-Bugey;01004224C9;Rue;de la République;100;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882154.30;6543170.75;N;3;;;;010042224L;;;;;;;aérosouterrain;
IMB/01004/X/00YA;0550;01004;01500;Ambérieu-en-Bugey;0100422AGC;Rue;de la République;101;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882251.12;6542926.13;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YB;0550;01004;01500;Ambérieu-en-Bugey;01004224CA;Rue;de la République;102;;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882157.42;6543184.71;N;3;;;;010042224L;;;;;;;aérien;
IMB/01004/X/00YC;0550;01004;01500;Ambérieu-en-Bugey;0100422AV2;Rue;de la République;106;B;;1;CIBLE;;;;;;;;;;;;201711140000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882170.75;6543224.57;N;3;;;;010042224L;;;;;;;aérien;
